id,alt, url,name,phone,monday ,tuesday,wednesday,thursday,friday,saturday,sunday ,type,address,city,state,zip
4,Store Image,,Ridgedale,9525440377,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,10am - 8pm,swas,13513 Ridgedale Dr,Minnetonka,MN,55305
7,Store Image,,Roseville,6517460538,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,10am - 8pm,swas,1643 County Road B2,Roseville,MN,55113
15,Store Image,,Oakdale Mn,6517391899,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,10am - 8pm,swas,8301 3rd St N,Oakdale,MN,55128
25,Store Image,,Southridge,4142813434,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,10am - 8pm,swas,4610 S 76th St,Greenfield,WI,53220
44,Store Image,,Bluemound Plaza,2627960669,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,10am - 8pm,swas,19555 W Bluemound Rd,Milwaukee,WI,53045
51,Store Image,,Wichita,3166845026,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,10am - 10pm,10am - 10pm,10am - 8pm,swas,"2111 North Rock Rd, Ste 121",Wichita,KS,67206
55,Store Image,,Hurst,8175954737,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,10am - 10pm,10am - 10pm,10am - 8pm,swas,869 NE Mall Blvd,Hurst,TX,76053
58,Store Image,,Park Lane,2146962089,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,10am - 10pm,10am - 10pm,11am - 8pm,swas,9378 N Central Expy,Dallas,TX,75231
101,Store Image,,Mission Viejo,9493670729,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,11am - 8pm,swas,25422 El Paseo,Mission Viejo,CA,92691
102,Store Image,,West Covina,6264805399,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,11am - 8pm,swas,1800 Plaza Drive,West Covina,CA,91790
104,Store Image,,Hawthorne,3106449312,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,11am - 8pm,swas,5000 W 147th St,Hawthorne,CA,90250
109,Store Image,,West LA,3102689190,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,11am - 8pm,swas,11301 W Pico Blvd.,Los Angeles,CA,90064
118,Store Image,,Oxnard,8052789555,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,11am - 8pm,swas,"2300 N Rose Avenue
",Oxnard,CA,93036
119,Store Image,,Costa Mesa,7144340132,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,11am - 8pm,swas,901 S Coast Drive Ste F,Costa Mesa,CA,92626
120,Store Image,,Santa Rosa SWAS,7075451078,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,10am - 8pm,swas,"1950 Santa Rosa Ave,  Santa Rosa Marketplace",Santa Rosa,CA,95407
121,Store Image,,Fresno,5594460195,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,11am - 8pm,swas,7550 North Blackstone Avenue,Fresno,CA,93720
125,Store Image,,Pasadena SWAS,6263519516,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,11am - 8pm,swas,3415 E.  Foothill Blvd.,Pasadena,CA,91107
127,Store Image,,Lakewood,5625296500,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,11am - 8pm,swas,5101 Clark Ave,Lakewood,CA,90712
134,Store Image,,Dublin,9258297041,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,11am - 8pm,swas,4820 Dublin Blvd.,Dublin,CA,94568
135,Store Image,,Pleasant Hill,9259880256,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,11am - 8pm,swas,3260 Buskirk Ave,Pleasant Hill,CA,94523
137,Store Image,,Burbank SWAS,8188455121,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,11am - 8pm,swas,1501 N Victory Pl,Burbank,CA,91504
141,Store Image,,Modesto,2095430117,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,11am - 8pm,swas,3900 Sisk Rd,Modesto,CA,95356
144,Store Image,,Union City,5104412130,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,11am - 8pm,swas,31350 Courthouse Dr.,Union City,CA,94587
146,Store Image,,Sterling,7034302150,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,10am - 10pm,10am - 10pm,11am - 8pm,swas,"45575 Dulles Eastern Plz, Ste 188",Sterling,VA,20165
148,Store Image,,Grapevine,8174429912,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,10am - 10pm,10am - 10pm,11am - 8pm,swas,1515 W. State Highway #114,Grapevine,TX,76051
149,Store Image,,Towson,4105612260,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,11am - 8pm,swas,1717 York Road,Timonium,MD,21093
167,Store Image,,Woodlands,2812921355,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,9am - 10pm,10am - 8pm,swas,1550 Lake Woodlands Dr,The Woodlands,TX,77380
178,Store Image,,Lakeline,5123362050,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,10am - 10pm,10am - 10pm,11am - 8pm,swas,11066 Pecan Park Blvd,Cedar Park,TX,78613
180,Store Image,,Frisco,9727123939,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,10am - 10pm,10am - 10pm,11am - 8pm,swas,3333 Preston Road #200,Frisco,TX,75034
181,Store Image,,Forum,2109452452,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,11am - 8pm,swas,8210 Agora Pkwy,Selma,TX,78154
183,Store Image,,Atwater Village,3239129288,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,10am - 9pm,11am - 8pm,swas,2909 Los Feliz Blvd. ,Los Angeles,CA,90039
